frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
268,2026-03-20 12:59:36,4.95,0,0.0042,1.2,0.0035,1
269,2026-03-20 12:59:37,4.77,0,0.0038,1.2,0.0032,1
270,2026-03-20 12:59:37,4.83,0,0.0042,1.2,0.0035,1
271,2026-03-20 12:59:37,4.67,0,0.2363,1.3,0.1821,1
272,2026-03-20 12:59:37,4.89,0,0.2189,1.3,0.1686,1
273,2026-03-20 12:59:37,4.8,0,0.0057,1.2,0.0047,1
274,2026-03-20 12:59:38,4.96,0,0.0073,1.2,0.0061,1
275,2026-03-20 12:59:38,4.96,0,0.2245,1.3,0.1731,1
276,2026-03-20 12:59:38,4.8,0,0.2246,1.3,0.1732,1
277,2026-03-20 12:59:38,4.82,0,0.2248,1.3,0.1733,1
278,2026-03-20 12:59:38,4.92,0,0.2235,1.3,0.1725,1
279,2026-03-20 12:59:39,4.9,0,0.2249,1.3,0.1734,1
280,2026-03-20 12:59:39,4.84,0,0.0048,1.2,0.004,1
281,2026-03-20 12:59:39,4.98,0,0.2315,1.3,0.1786,1
282,2026-03-20 12:59:39,4.71,0,0.0078,1.2,0.0065,1
283,2026-03-20 12:59:39,4.94,0,0.0081,1.2,0.0067,1
284,2026-03-20 12:59:40,4.92,0,0.0068,1.2,0.0057,0
285,2026-03-20 12:59:40,5.01,0,0.005,1.2,0.0042,1
286,2026-03-20 12:59:40,4.92,0,0.0079,1.2,0.0065,1
287,2026-03-20 12:59:40,5.01,0,0.0062,1.2,0.0052,1
288,2026-03-20 12:59:40,5.03,0,0.0076,1.2,0.0063,1
289,2026-03-20 12:59:41,4.8,0,0.008,1.2,0.0067,0
290,2026-03-20 12:59:41,4.93,0,0.0069,1.2,0.0058,1
291,2026-03-20 12:59:41,5.07,0,0.0078,1.2,0.0065,0
292,2026-03-20 12:59:41,4.96,0,0.2281,1.3,0.1757,1
293,2026-03-20 12:59:41,4.34,0,0.2358,1.3,0.1818,1
294,2026-03-20 12:59:42,5.04,0,0.0058,1.2,0.0049,0
295,2026-03-20 12:59:42,5.0,0,0.0064,1.2,0.0053,0
296,2026-03-20 12:59:42,4.96,0,0.0057,1.2,0.0047,0
297,2026-03-20 12:59:42,4.8,0,0.0081,1.2,0.0068,1
298,2026-03-20 12:59:42,4.97,0,0.2393,1.3,0.1846,1
299,2026-03-20 12:59:43,4.83,0,0.005,1.2,0.0041,0
300,2026-03-20 12:59:43,4.92,0,0.0087,1.2,0.0072,0
301,2026-03-20 12:59:43,4.85,0,0.0081,1.2,0.0068,0
302,2026-03-20 12:59:43,4.94,0,0.0083,1.2,0.0069,0
303,2026-03-20 12:59:44,4.84,0,0.0054,1.2,0.0045,0
304,2026-03-20 12:59:44,4.88,0,0.0107,1.2,0.01,0
305,2026-03-20 12:59:44,5.06,0,0.0042,1.2,0.0035,0
306,2026-03-20 12:59:44,5.1,0,0.0063,1.2,0.0053,0
307,2026-03-20 12:59:44,4.87,0,0.0045,1.2,0.0037,0
308,2026-03-20 12:59:45,4.88,0,0.0059,1.2,0.0049,0
309,2026-03-20 12:59:45,4.88,0,0.0067,1.2,0.0056,0
310,2026-03-20 12:59:45,4.65,0,0.0034,1.2,0.0028,0
311,2026-03-20 12:59:45,5.05,0,0.0062,1.2,0.0052,0
312,2026-03-20 12:59:45,4.84,0,0.0052,1.2,0.0043,0
313,2026-03-20 12:59:46,4.74,0,0.0058,1.2,0.0048,0
314,2026-03-20 12:59:46,5.02,0,0.0063,1.2,0.0052,0
315,2026-03-20 12:59:46,4.81,0,0.005,1.2,0.0042,0
316,2026-03-20 12:59:46,4.96,0,0.0045,1.2,0.0038,0
317,2026-03-20 12:59:46,4.86,0,0.0047,1.2,0.0039,0
318,2026-03-20 12:59:47,5.12,0,0.005,1.2,0.0041,0
319,2026-03-20 12:59:47,4.98,0,0.0052,1.2,0.0044,0
320,2026-03-20 12:59:47,4.79,0,0.005,1.2,0.0042,0
321,2026-03-20 12:59:47,5.0,0,0.0047,1.2,0.0039,0
322,2026-03-20 12:59:47,5.0,0,0.0054,1.2,0.0045,0
323,2026-03-20 12:59:48,5.0,0,0.0095,1.2,0.0088,0
324,2026-03-20 12:59:48,5.03,0,0.0092,1.2,0.0085,0
325,2026-03-20 12:59:48,5.05,0,0.005,1.2,0.0041,0
326,2026-03-20 12:59:48,4.81,0,0.0052,1.2,0.0043,0
327,2026-03-20 12:59:48,4.91,0,0.0056,1.2,0.0047,0
328,2026-03-20 12:59:49,4.76,0,0.0057,1.2,0.0048,0
329,2026-03-20 12:59:49,4.93,0,0.0056,1.2,0.0046,0
330,2026-03-20 12:59:49,4.93,0,0.0055,1.2,0.0046,0
331,2026-03-20 12:59:49,4.98,0,0.0055,1.2,0.0046,0
332,2026-03-20 12:59:49,4.88,0,0.0059,1.2,0.0049,0
333,2026-03-20 12:59:50,4.97,0,0.0048,1.2,0.004,0
334,2026-03-20 12:59:50,4.89,0,0.0055,1.2,0.0046,0
335,2026-03-20 12:59:50,5.14,0,0.0065,1.2,0.0054,0
336,2026-03-20 12:59:50,4.99,0,0.0061,1.2,0.0051,0
337,2026-03-20 12:59:50,5.02,0,0.0058,1.2,0.0048,0
338,2026-03-20 12:59:51,4.88,0,0.0058,1.2,0.0049,0
339,2026-03-20 12:59:51,4.73,0,0.0063,1.2,0.0053,0
340,2026-03-20 12:59:51,4.77,0,0.0034,1.2,0.0029,0
341,2026-03-20 12:59:51,4.9,0,0.0064,1.2,0.0053,0
342,2026-03-20 12:59:51,4.97,0,0.0066,1.2,0.0055,0
343,2026-03-20 12:59:52,4.94,0,0.0069,1.2,0.0057,0
344,2026-03-20 12:59:52,4.88,0,0.0063,1.2,0.0052,0
345,2026-03-20 12:59:52,4.76,0,0.0074,1.2,0.0061,0
346,2026-03-20 12:59:52,4.65,0,0.0035,1.2,0.0029,0
347,2026-03-20 12:59:52,4.74,0,0.0029,1.2,0.0025,0
348,2026-03-20 12:59:53,4.94,0,0.0055,1.2,0.0046,0
349,2026-03-20 12:59:53,4.87,0,0.0057,1.2,0.0048,1
350,2026-03-20 12:59:53,4.83,0,0.0046,1.2,0.0038,0
351,2026-03-20 12:59:53,4.79,0,0.003,1.2,0.0025,0
352,2026-03-20 12:59:54,4.89,0,0.0046,1.2,0.0038,0
353,2026-03-20 12:59:54,4.72,0,0.0047,1.2,0.0039,0
354,2026-03-20 12:59:54,4.88,3,0.0139,1.2,0.0042,0
355,2026-03-20 12:59:54,4.74,3,0.0146,1.3,0.0048,0
356,2026-03-20 12:59:54,4.76,0,0.0035,1.2,0.003,0
357,2026-03-20 12:59:55,4.91,0,0.0049,1.2,0.0041,0
358,2026-03-20 12:59:55,4.87,0,0.0055,1.2,0.0046,0
359,2026-03-20 12:59:55,4.72,0,0.0056,1.2,0.0047,0
360,2026-03-20 12:59:55,4.8,0,0.0056,1.2,0.0046,0
361,2026-03-20 12:59:55,4.76,0,0.002,1.2,0.0016,0
362,2026-03-20 12:59:56,4.88,0,0.002,1.2,0.0016,0
363,2026-03-20 12:59:56,4.88,0,0.0,0.0,0.0,0
364,2026-03-20 12:59:56,4.93,0,0.0,0.0,0.0,0
365,2026-03-20 12:59:56,4.83,0,0.0,0.0,0.0,0
366,2026-03-20 12:59:56,5.03,0,0.0,0.0,0.0,0
367,2026-03-20 12:59:57,4.78,0,0.0,0.0,0.0,0
368,2026-03-20 12:59:57,4.95,0,0.0,0.0,0.0,0
369,2026-03-20 12:59:57,4.84,0,0.0056,1.2,0.0047,0
370,2026-03-20 12:59:57,4.91,0,0.0133,1.2,0.0111,0
371,2026-03-20 12:59:57,4.88,0,0.0198,1.2,0.0165,0
372,2026-03-20 12:59:58,4.86,0,0.0261,1.2,0.0217,1
373,2026-03-20 12:59:58,4.92,0,0.0333,1.2,0.0277,0
374,2026-03-20 12:59:58,4.63,0,0.0398,1.2,0.0332,0
375,2026-03-20 12:59:58,4.85,0,0.0486,1.2,0.0405,1
376,2026-03-20 12:59:58,4.57,0,0.0548,1.2,0.0457,1
377,2026-03-20 12:59:59,4.78,0,0.0628,1.2,0.0523,1
378,2026-03-20 12:59:59,4.66,0,0.0705,1.2,0.0587,1
379,2026-03-20 12:59:59,4.77,0,0.077,1.2,0.0642,1
380,2026-03-20 12:59:59,4.74,0,0.0853,1.2,0.0711,1
381,2026-03-20 13:00:00,4.76,3,0.0943,1.2,0.0711,1
382,2026-03-20 13:00:00,4.69,0,0.0853,1.2,0.0711,1
383,2026-03-20 13:00:00,4.58,0,0.0834,1.2,0.0695,1
384,2026-03-20 13:00:00,4.58,0,0.0841,1.2,0.0701,1
385,2026-03-20 13:00:00,4.88,0,0.091,1.2,0.0758,0
386,2026-03-20 13:00:01,4.71,0,0.0935,1.2,0.0779,0
387,2026-03-20 13:00:01,4.75,0,0.0986,1.2,0.0822,0
388,2026-03-20 13:00:01,4.89,0,0.1029,1.2,0.0858,0
389,2026-03-20 13:00:01,4.78,0,0.1069,1.2,0.0891,1
390,2026-03-20 13:00:01,4.89,0,0.1105,1.2,0.0921,1
391,2026-03-20 13:00:02,4.68,0,0.1155,1.2,0.0962,1
392,2026-03-20 13:00:02,4.83,0,0.1207,1.2,0.1006,1
393,2026-03-20 13:00:02,4.81,0,0.1238,1.2,0.1032,1
394,2026-03-20 13:00:02,4.65,0,0.1305,1.2,0.1087,1
395,2026-03-20 13:00:02,4.77,0,0.1362,1.2,0.1135,1
396,2026-03-20 13:00:03,4.95,0,0.1393,1.2,0.1161,1
397,2026-03-20 13:00:03,4.71,0,0.1472,1.2,0.1227,1
398,2026-03-20 13:00:03,4.82,0,0.1543,1.2,0.1286,1
399,2026-03-20 13:00:03,4.8,0,0.1645,1.2,0.1371,1
400,2026-03-20 13:00:04,4.82,0,0.0312,1.2,0.026,0
401,2026-03-20 13:00:04,4.79,0,0.03,1.2,0.025,0
402,2026-03-20 13:00:04,4.82,0,0.2063,1.2,0.1719,1
403,2026-03-20 13:00:04,4.96,0,0.212,1.2,0.1767,1
404,2026-03-20 13:00:04,4.71,0,0.2087,1.2,0.1739,1
405,2026-03-20 13:00:05,4.94,0,0.1957,1.2,0.1631,1
406,2026-03-20 13:00:05,4.87,0,0.4042,1.2,0.3368,1
407,2026-03-20 13:00:05,4.82,0,0.4025,1.2,0.3354,1
408,2026-03-20 13:00:05,4.91,0,0.3848,1.2,0.3207,1
409,2026-03-20 13:00:05,4.78,0,0.3148,1.3,0.248,1
410,2026-03-20 13:00:06,4.88,0,0.2579,1.2,0.2149,1
411,2026-03-20 13:00:06,4.93,0,0.1218,1.2,0.1014,1
412,2026-03-20 13:00:06,4.69,0,0.1178,1.2,0.0981,1
413,2026-03-20 13:00:06,4.79,0,0.088,1.2,0.0732,1
414,2026-03-20 13:00:06,4.89,0,0.2959,1.2,0.2466,1
415,2026-03-20 13:00:07,4.76,0,0.1094,1.2,0.0912,1
416,2026-03-20 13:00:07,4.8,0,0.2864,1.3,0.2236,1
417,2026-03-20 13:00:07,4.72,0,0.2854,1.3,0.2225,1
418,2026-03-20 13:00:07,4.89,0,0.4987,1.3,0.4015,1
419,2026-03-20 13:00:07,4.84,0,0.0564,1.2,0.0469,1
420,2026-03-20 13:00:08,4.91,0,0.0629,1.2,0.0524,1
421,2026-03-20 13:00:08,4.74,0,0.058,1.2,0.0482,1
422,2026-03-20 13:00:08,4.67,0,0.0635,1.2,0.0528,1
423,2026-03-20 13:00:08,4.7,0,0.0551,1.2,0.0458,1
424,2026-03-20 13:00:09,4.75,0,0.0781,1.2,0.065,1
425,2026-03-20 13:00:09,4.84,0,0.077,1.2,0.064,1
426,2026-03-20 13:00:09,5.0,0,0.2843,1.2,0.2369,1
427,2026-03-20 13:00:09,4.96,0,0.0706,1.2,0.0588,1
428,2026-03-20 13:00:09,4.48,0,0.0752,1.2,0.0626,1
429,2026-03-20 13:00:10,4.88,0,0.0764,1.2,0.0636,1
430,2026-03-20 13:00:10,4.65,0,0.0767,1.2,0.0639,1
431,2026-03-20 13:00:10,4.64,0,0.0793,1.2,0.066,1
432,2026-03-20 13:00:10,4.8,0,0.0833,1.2,0.0693,1
433,2026-03-20 13:00:10,4.66,0,0.096,1.2,0.0799,1
434,2026-03-20 13:00:11,4.72,0,0.1047,1.2,0.0871,1
435,2026-03-20 13:00:11,4.66,0,0.1055,1.2,0.0878,1
436,2026-03-20 13:00:11,4.63,0,0.1052,1.2,0.0875,1
437,2026-03-20 13:00:11,4.57,0,0.1078,1.2,0.0898,1
438,2026-03-20 13:00:11,4.19,0,0.1044,1.2,0.0868,1
439,2026-03-20 13:00:12,4.59,0,0.0885,1.2,0.0736,1
440,2026-03-20 13:00:12,4.8,0,0.0855,1.2,0.0711,1
441,2026-03-20 13:00:12,4.8,0,0.1059,1.2,0.0881,1
442,2026-03-20 13:00:12,4.91,0,0.0954,1.2,0.0793,1
443,2026-03-20 13:00:13,4.57,0,0.0923,1.2,0.0767,1
444,2026-03-20 13:00:13,4.76,0,0.3156,1.2,0.2628,1
445,2026-03-20 13:00:13,4.84,0,0.3312,1.2,0.2758,1
446,2026-03-20 13:00:13,4.94,0,0.316,1.2,0.2631,1
447,2026-03-20 13:00:13,4.83,0,0.3207,1.2,0.267,1
