frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
103,2026-03-20 12:48:24,3.47,0,0.0478,2.9797,0.0326,1
104,2026-03-20 12:48:24,4.21,0,0.0423,3.0033,0.0294,1
105,2026-03-20 12:48:24,4.14,0,0.0425,2.9453,0.0294,1
106,2026-03-20 12:48:24,4.11,0,0.0456,2.9402,0.0317,1
107,2026-03-20 12:48:25,4.17,0,0.0509,3.1032,0.035,1
108,2026-03-20 12:48:25,4.16,0,0.0498,3.0824,0.0335,1
109,2026-03-20 12:48:25,4.13,0,0.054,3.0169,0.0369,1
110,2026-03-20 12:48:25,4.2,0,0.0581,2.9981,0.0395,1
111,2026-03-20 12:48:26,4.05,0,0.0589,3.0002,0.0392,1
112,2026-03-20 12:48:26,4.31,0,0.0606,3.0463,0.0413,1
113,2026-03-20 12:48:26,4.08,0,0.0603,3.0093,0.0415,1
114,2026-03-20 12:48:26,4.17,0,0.0521,3.005,0.0355,1
115,2026-03-20 12:48:27,4.06,0,0.0521,2.9071,0.0356,1
116,2026-03-20 12:48:27,4.26,0,0.0544,3.1122,0.0367,1
117,2026-03-20 12:48:27,4.18,0,0.0502,2.9284,0.0346,1
118,2026-03-20 12:48:27,4.05,0,0.0492,3.0915,0.0338,1
119,2026-03-20 12:48:28,4.28,0,0.0502,3.0131,0.0345,1
120,2026-03-20 12:48:28,4.17,0,0.0503,3.121,0.0346,1
121,2026-03-20 12:48:28,4.08,0,0.0516,3.0779,0.0347,1
122,2026-03-20 12:48:28,4.25,0,0.053,3.2264,0.0353,1
123,2026-03-20 12:48:28,4.12,0,0.052,3.2585,0.0345,1
124,2026-03-20 12:48:29,4.13,0,0.0515,3.1643,0.0346,1
125,2026-03-20 12:48:29,4.13,0,0.0541,3.2558,0.0358,1
126,2026-03-20 12:48:29,4.29,0,0.0541,3.1135,0.0355,1
127,2026-03-20 12:48:29,4.04,0,0.0026,3.1606,0.0009,0
128,2026-03-20 12:48:30,3.98,0,0.0025,3.148,0.0008,0
129,2026-03-20 12:48:30,4.33,0,0.0025,3.0537,0.0008,0
130,2026-03-20 12:48:30,4.17,0,0.055,3.0941,0.0371,1
131,2026-03-20 12:48:30,3.94,0,0.0025,3.1006,0.0008,0
132,2026-03-20 12:48:31,3.82,0,0.0026,3.1266,0.0009,0
133,2026-03-20 12:48:31,4.24,0,0.0562,3.0159,0.037,1
134,2026-03-20 12:48:31,3.64,0,0.0018,2.935,0.0006,0
135,2026-03-20 12:48:32,3.4,0,0.0024,3.0714,0.0008,0
136,2026-03-20 12:48:32,4.06,0,0.0023,3.0614,0.0008,0
137,2026-03-20 12:48:32,4.22,0,0.0509,2.733,0.035,1
138,2026-03-20 12:48:32,4.02,0,0.051,2.8358,0.035,1
139,2026-03-20 12:48:32,3.79,0,0.0501,2.7172,0.034,1
140,2026-03-20 12:48:33,3.91,0,0.0497,2.7141,0.0335,1
141,2026-03-20 12:48:33,4.03,0,0.0482,2.6711,0.0327,1
142,2026-03-20 12:48:33,3.76,0,0.0476,2.8609,0.0324,1
143,2026-03-20 12:48:34,3.92,0,0.0459,2.8245,0.0314,1
144,2026-03-20 12:48:34,3.98,0,0.0469,2.8006,0.0312,1
145,2026-03-20 12:48:34,3.86,0,0.0479,2.816,0.0314,1
146,2026-03-20 12:48:34,3.94,0,0.0466,2.9401,0.0305,1
147,2026-03-20 12:48:35,4.1,0,0.0527,2.9674,0.0344,1
148,2026-03-20 12:48:35,3.82,0,0.0529,2.9788,0.0347,1
149,2026-03-20 12:48:35,4.08,0,0.0534,2.95,0.0353,1
150,2026-03-20 12:48:35,4.0,0,0.054,2.948,0.036,1
151,2026-03-20 12:48:36,3.91,0,0.0558,2.9856,0.0377,1
152,2026-03-20 12:48:36,3.94,0,0.0575,3.0315,0.0391,1
153,2026-03-20 12:48:36,3.74,0,0.0631,3.1313,0.0423,1
154,2026-03-20 12:48:36,3.1,0,0.0594,2.9183,0.0408,1
155,2026-03-20 12:48:37,3.99,0,0.0569,3.0225,0.0382,1
156,2026-03-20 12:48:37,3.97,0,0.0491,3.1141,0.0327,1
157,2026-03-20 12:48:37,3.98,0,0.0392,2.9628,0.0261,1
158,2026-03-20 12:48:37,4.0,0,0.039,3.0335,0.0259,1
159,2026-03-20 12:48:38,3.98,0,0.039,3.039,0.0259,1
160,2026-03-20 12:48:38,4.0,0,0.0395,3.0959,0.026,1
161,2026-03-20 12:48:38,3.91,0,0.0403,3.1147,0.0264,1
162,2026-03-20 12:48:38,3.94,0,0.038,3.0283,0.0249,1
163,2026-03-20 12:48:39,3.57,0,0.0382,2.9089,0.0254,1
164,2026-03-20 12:48:39,3.85,0,0.0391,3.1948,0.0252,1
165,2026-03-20 12:48:39,3.85,0,0.0376,3.1793,0.0242,1
