frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
94,2026-03-20 12:42:58,5.08,0,0.0035,3.091,0.0015,0
95,2026-03-20 12:42:58,5.01,0,0.0013,2.6728,0.0006,0
96,2026-03-20 12:42:58,5.16,0,0.0029,3.0995,0.001,0
97,2026-03-20 12:42:59,4.92,0,0.0068,3.1792,0.0026,0
98,2026-03-20 12:42:59,5.1,0,0.0039,3.3895,0.0013,0
99,2026-03-20 12:42:59,4.99,0,0.0038,3.2801,0.0013,0
100,2026-03-20 12:42:59,5.1,0,0.004,3.4586,0.0013,0
101,2026-03-20 12:42:59,5.01,0,0.0074,3.3396,0.0025,0
102,2026-03-20 12:43:00,5.06,0,0.0057,3.3386,0.002,0
103,2026-03-20 12:43:00,4.96,0,0.005,3.1095,0.0018,0
104,2026-03-20 12:43:00,5.0,0,0.0054,3.1636,0.0019,0
105,2026-03-20 12:43:00,4.89,0,0.0051,3.2712,0.0019,0
106,2026-03-20 12:43:00,4.88,0,0.0034,3.337,0.0011,0
107,2026-03-20 12:43:01,5.01,0,0.0046,3.3325,0.0016,0
108,2026-03-20 12:43:01,5.11,0,0.0043,3.3664,0.0015,0
109,2026-03-20 12:43:01,4.78,0,0.0046,3.4226,0.0015,0
110,2026-03-20 12:43:01,4.94,0,0.0014,3.2478,0.0005,0
111,2026-03-20 12:43:01,5.05,0,0.0015,3.3137,0.0005,0
112,2026-03-20 12:43:02,4.96,0,0.0012,3.1429,0.0004,0
113,2026-03-20 12:43:02,4.95,0,0.0016,2.8594,0.0006,0
114,2026-03-20 12:43:02,4.97,0,0.0042,3.0403,0.0016,0
115,2026-03-20 12:43:02,5.03,0,0.0017,3.1924,0.0006,0
116,2026-03-20 12:43:02,5.06,0,0.0037,3.3005,0.0012,0
117,2026-03-20 12:43:03,5.11,0,0.0045,3.1878,0.0016,0
118,2026-03-20 12:43:03,5.05,0,0.002,3.2462,0.0007,0
119,2026-03-20 12:43:03,4.8,0,0.0037,3.2506,0.0013,0
120,2026-03-20 12:43:03,5.03,0,0.0015,3.1472,0.0006,0
121,2026-03-20 12:43:03,5.0,0,0.0018,3.0972,0.0007,0
122,2026-03-20 12:43:04,5.01,0,0.0019,3.1935,0.0007,0
123,2026-03-20 12:43:04,5.05,0,0.0018,3.1589,0.0007,0
124,2026-03-20 12:43:04,5.04,0,0.0035,3.3338,0.0012,0
125,2026-03-20 12:43:04,4.99,0,0.005,3.2399,0.0017,0
126,2026-03-20 12:43:04,5.09,0,0.0028,3.2678,0.0009,0
127,2026-03-20 12:43:05,4.99,0,0.0095,3.3071,0.0031,0
128,2026-03-20 12:43:05,4.98,0,0.0092,3.2585,0.0031,0
129,2026-03-20 12:43:05,4.94,0,0.0049,3.2123,0.0017,0
130,2026-03-20 12:43:05,5.0,0,0.0052,3.207,0.0018,0
131,2026-03-20 12:43:05,5.03,0,0.0095,3.2727,0.0041,0
132,2026-03-20 12:43:06,4.92,0,0.0093,3.2278,0.0041,0
133,2026-03-20 12:43:06,4.95,0,0.0094,3.1315,0.0042,0
134,2026-03-20 12:43:06,4.97,0,0.0057,3.2252,0.0019,0
135,2026-03-20 12:43:06,4.96,0,0.0041,3.2368,0.0013,0
136,2026-03-20 12:43:06,4.72,0,0.0052,3.3556,0.0017,0
137,2026-03-20 12:43:07,4.92,0,0.0052,3.2997,0.0017,0
138,2026-03-20 12:43:07,4.97,0,0.0053,3.3452,0.0018,0
139,2026-03-20 12:43:07,4.99,0,0.0019,3.3081,0.0007,0
140,2026-03-20 12:43:07,5.04,0,0.0042,3.3303,0.0014,0
141,2026-03-20 12:43:07,4.88,0,0.0035,3.2533,0.0012,0
142,2026-03-20 12:43:08,4.84,0,0.0054,3.3993,0.0018,0
143,2026-03-20 12:43:08,4.88,0,0.0048,3.2138,0.0018,0
144,2026-03-20 12:43:08,5.08,0,0.0042,3.0513,0.0017,0
145,2026-03-20 12:43:08,4.95,0,0.0048,3.129,0.0018,0
146,2026-03-20 12:43:08,5.03,0,0.0056,3.2543,0.0019,0
147,2026-03-20 12:43:09,4.95,0,0.003,3.1727,0.001,0
148,2026-03-20 12:43:09,5.0,0,0.0058,3.2877,0.0021,0
149,2026-03-20 12:43:09,4.98,0,0.0046,3.093,0.0018,0
150,2026-03-20 12:43:09,4.36,0,0.004,3.3768,0.0014,0
151,2026-03-20 12:43:09,4.79,0,0.004,3.2789,0.0015,0
152,2026-03-20 12:43:10,4.81,0,0.0076,3.3936,0.0027,0
153,2026-03-20 12:43:10,5.05,0,0.0,0.0,0.0,0
154,2026-03-20 12:43:10,4.85,0,0.0045,3.2365,0.0016,0
155,2026-03-20 12:43:10,5.01,0,0.0036,2.9964,0.0015,0
156,2026-03-20 12:43:10,4.92,0,0.0067,3.333,0.0023,0
157,2026-03-20 12:43:11,4.75,0,0.0061,3.1388,0.0025,0
158,2026-03-20 12:43:11,4.96,0,0.0097,3.2798,0.0035,0
159,2026-03-20 12:43:11,5.0,0,0.0019,3.0569,0.0007,0
160,2026-03-20 12:43:11,4.79,0,0.0121,3.0805,0.0061,0
161,2026-03-20 12:43:11,4.58,0,0.0089,3.1685,0.0035,0
162,2026-03-20 12:43:12,4.68,0,0.0073,3.1909,0.0028,0
163,2026-03-20 12:43:12,4.93,0,0.006,3.1927,0.0022,0
